id,property_type,city,state,price,bedrooms,bathrooms,square_feet,sale_date,buyer_age,buyer_income,buyer_occupation,year_built,garage,lot_area
999362,Condo,Montreal,BC,873630.0,5,2,1010,2015-08-08,52,54944,Doctor,1960,1,7919
999363,House,Toronto,ON,377869.0,2,2,3591,2018-12-26,36,115513,Doctor,1958,1,7304
999364,House,Montreal,ON,128030.0,4,1,3823,2017-10-01,28,104820,Teacher,2002,0,4548
999365,Apartment,Montreal,QC,117730.0,3,2,2848,2023-01-10,53,113195,Teacher,1975,1,3374
999366,Condo,Vancouver,QC,292476.0,4,1,3659,2021-11-27,58,91669,Doctor,2018,1,1281
999367,Apartment,Montreal,AB,294278.0,2,2,853,2020-04-18,38,70140,Manager,1963,1,6119
999368,House,Calgary,QC,770737.0,4,2,2642,2019-02-16,40,76358,Artist,1989,0,2850
999369,House,Calgary,ON,753418.0,2,1,2359,2020-03-28,40,132205,Doctor,2019,1,5152
999370,House,Calgary,ON,146203.0,1,1,2896,2016-04-15,32,110171,Teacher,1986,1,8719
999371,House,Ottawa,ON,320374.0,5,1,3964,2017-05-20,60,58168,Doctor,1988,0,1426
999372,House,Montreal,ON,253313.0,3,1,3254,2016-03-30,57,70820,Entrepreneur,2002,0,4703
999373,House,Vancouver,QC,165632.0,4,2,2683,2015-11-25,60,71693,Doctor,1991,1,1746
999374,Apartment,Toronto,AB,548625.0,4,3,2051,2023-11-19,56,123860,Teacher,1980,1,2807
999375,Apartment,Ottawa,BC,349903.0,4,1,3432,2024-06-01,48,138242,Doctor,1965,1,2861
999376,Condo,Toronto,QC,218857.0,5,3,1866,2020-08-25,45,148570,Entrepreneur,1984,0,4591
999377,House,Ottawa,AB,695488.0,3,3,1181,2015-05-10,44,90436,Manager,1985,1,1431
999378,House,Montreal,QC,789070.0,4,1,2515,2019-10-25,41,129685,Engineer,1975,1,9892
999379,Condo,Montreal,ON,614272.0,1,1,936,2021-05-21,61,108154,Teacher,1959,0,8377
999380,Condo,Vancouver,AB,296719.0,3,1,992,2016-10-12,52,50030,Entrepreneur,1957,1,7738
999381,House,Calgary,QC,857145.0,1,2,1973,2024-01-11,42,94305,Artist,1970,1,7517
999382,House,Ottawa,QC,510963.0,4,3,3154,2017-04-07,32,126887,Manager,2016,1,9419
999383,Apartment,Vancouver,AB,659950.0,1,1,3715,2018-05-23,41,88955,Artist,1961,1,7161
999384,Apartment,Calgary,BC,562077.0,4,3,3855,2023-04-21,29,114234,Engineer,1972,0,3179
999385,Condo,Ottawa,AB,852036.0,5,3,1683,2015-01-31,55,43043,Teacher,1950,0,6520
999386,Condo,Vancouver,AB,508160.0,3,2,3373,2015-06-17,58,53869,Entrepreneur,2010,0,6176
999387,House,Vancouver,ON,754544.0,5,2,1514,2021-05-02,60,122832,Engineer,1995,0,6116
999388,Condo,Calgary,QC,969444.0,2,2,2008,2023-09-13,60,138535,Doctor,1954,1,6218
999389,Condo,Toronto,ON,959953.0,5,1,849,2022-09-29,43,69962,Doctor,1985,0,8817
999390,Apartment,Ottawa,ON,609751.0,2,1,914,2017-05-31,40,50737,Doctor,1982,1,2714
999391,Condo,Ottawa,ON,407651.0,2,1,2921,2018-01-13,29,145192,Doctor,1964,0,4387
999392,House,Toronto,BC,781986.0,1,3,2140,2019-08-29,49,137326,Manager,1976,0,1660
999393,House,Vancouver,BC,345799.0,5,3,3070,2024-05-15,28,111839,Engineer,1957,1,2860
999394,Condo,Ottawa,BC,838626.0,3,3,2891,2021-09-15,30,96848,Artist,1975,1,7500
999395,House,Calgary,AB,483572.0,2,1,3661,2021-07-15,57,133413,Manager,1976,1,7891
999396,House,Calgary,BC,654543.0,3,3,1691,2018-06-25,32,128772,Engineer,1971,0,9223
999397,Condo,Calgary,ON,630936.0,1,1,3720,2021-05-21,29,46989,Engineer,1951,0,1234
999398,House,Calgary,BC,843357.0,4,1,3596,2023-02-04,58,60044,Doctor,2020,0,2232
999399,House,Vancouver,QC,385872.0,2,1,3258,2023-01-22,36,82510,Manager,2011,1,3606
999400,Apartment,Montreal,QC,707367.0,4,3,2619,2017-11-13,41,90494,Engineer,1996,1,6702
999401,Condo,Toronto,ON,486921.0,1,3,2758,2020-02-13,54,118481,Engineer,1994,1,4886
999402,House,Calgary,ON,366339.0,5,1,849,2015-12-28,25,126394,Engineer,1951,0,3702
999403,Apartment,Calgary,QC,888860.0,3,3,3890,2018-12-13,47,111308,Engineer,1998,1,6128
999404,Apartment,Calgary,BC,370172.0,2,2,3769,2021-05-24,54,124747,Entrepreneur,1997,0,1591
999405,Condo,Toronto,ON,234324.0,2,3,2740,2023-09-11,34,74506,Teacher,1981,0,8098
999406,Condo,Calgary,QC,980481.0,5,3,1210,2016-02-05,58,89491,Doctor,1970,1,3152
999407,Apartment,Toronto,AB,874357.0,4,1,3355,2024-07-18,53,43759,Manager,1973,1,2280
999408,House,Toronto,BC,195070.0,4,2,1311,2024-09-20,28,129939,Artist,1982,1,3460
999409,Apartment,Vancouver,AB,692162.0,3,1,3276,2023-10-04,56,126171,Engineer,1993,1,2907
999410,Apartment,Toronto,AB,155265.0,3,2,3969,2023-03-05,32,134022,Entrepreneur,2010,0,4642
999411,Apartment,Calgary,QC,968940.0,4,3,1688,2016-04-11,54,72472,Teacher,1970,1,3534
999412,Condo,Vancouver,AB,601416.0,1,3,2193,2019-07-03,34,133361,Artist,1992,1,9537
999413,Condo,Toronto,AB,644643.0,2,2,2745,2019-09-30,31,78877,Teacher,1988,0,3944
999414,Condo,Vancouver,ON,374538.0,2,3,1903,2023-02-21,41,73962,Manager,2022,0,4647
999415,House,Montreal,AB,739813.0,5,2,1979,2020-09-29,43,71496,Manager,2012,0,7945
999416,Apartment,Calgary,ON,561376.0,5,1,2841,2023-04-05,27,44813,Engineer,1953,1,1902
999417,Condo,Calgary,BC,743915.0,1,2,1121,2021-09-05,37,99886,Artist,1965,1,8583
999418,Apartment,Vancouver,ON,953410.0,2,2,2878,2018-01-08,35,74118,Manager,2007,0,2865
999419,Apartment,Calgary,ON,436698.0,5,2,3989,2024-08-02,51,94647,Entrepreneur,2006,1,5844
999420,Condo,Vancouver,ON,240682.0,5,2,1081,2016-11-27,30,148873,Entrepreneur,2005,1,2135
999421,House,Ottawa,AB,226742.0,1,3,2334,2019-09-10,57,57000,Teacher,1977,1,5093
999422,House,Calgary,AB,310637.0,2,2,2199,2020-02-17,32,86795,Artist,1951,1,8423
999423,Condo,Ottawa,BC,882482.0,1,2,2667,2023-10-18,56,85037,Artist,1994,0,6997
999424,Condo,Calgary,ON,123012.0,2,1,2624,2021-07-13,58,109490,Engineer,1982,0,7823
999425,House,Calgary,ON,451211.0,2,1,1108,2023-02-08,36,143745,Engineer,1952,0,4993
999426,Condo,Montreal,ON,677947.0,5,3,2960,2023-06-03,31,64909,Artist,1956,1,7170
999427,Condo,Ottawa,QC,437661.0,5,1,1468,2016-11-23,38,114583,Engineer,2004,1,9603
999428,House,Vancouver,QC,288396.0,3,1,2110,2022-01-06,31,52930,Teacher,1960,1,8566
999429,House,Ottawa,BC,393022.0,1,3,2906,2020-01-11,27,68592,Doctor,1962,1,3320
999430,Condo,Montreal,QC,291668.0,4,3,2718,2015-01-09,53,45178,Engineer,2010,1,7106
999431,Apartment,Vancouver,ON,648422.0,4,3,1839,2018-06-18,58,61082,Artist,2013,0,3070
